N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
20000,768,text OR text,0.007,140,140,1.9933120347559452,0.14905794523656368,2.782849012874067,0.1561540411785245,13.37273254097554,0.99,,,,,,,,,10,clustered
20000,768,text OR text,0.01,200,200,1.348154037259519,0.16860896721482277,1.8086599884554744,0.18480897415429354,7.995743402792162,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.02,400,400,0.7781670428812504,0.26537501253187656,0.9396109962835908,0.3241619560867548,2.9323297452045445,1.0,5408.473186324971,12129.632928656067,2.242709265773043,421.14956756763286,339.3594182796703,18.353985865727225,40.94016237966953,reader-bound,10,clustered
20000,768,text OR text,0.035,700,700,0.7228240137919784,0.45690196566283703,0.9721609530970454,0.4823029739782214,1.5820111711346279,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.05,1000,1000,0.45236293226480484,0.6147680105641484,0.6494440604001284,0.643018982373178,0.735827051003661,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.07,1400,1400,0.3449370851740241,0.8250020910054445,0.5322620272636414,0.8626580238342285,0.4181044980790815,1.0,,,,,,,,,10,clustered
20000,768,text OR text,0.1,2000,2000,0.26377697940915823,1.1452839244157076,0.4158089868724346,1.1869759764522314,0.23031579662111298,1.0,11816.324014735499,3018.2966249001215,0.25543448378160305,274.958953762279,411.90170974467304,39.49141167142248,10.917876643834704,reader-bound,10,clustered
20000,768,text AND text,0.001,20,20,0.15080696903169155,0.08891290053725243,0.21323398686945438,0.09238999336957932,1.6961202268787414,0.1,,,,,,,,,10,clustered
20000,768,text AND text,0.002,40,40,0.13910001143813133,0.0924910418689251,0.19869604147970676,0.09797990787774324,1.5039295549860792,0.1,,,,,,,,,10,clustered
20000,768,text AND text,0.004,80,80,0.1390579855069518,0.10365701746195555,0.17983093857765198,0.10822899639606476,1.3415202261437746,0.1,,,,,,,,,10,clustered
20000,768,text AND text,0.005,100,100,,,,,,,12211.920840211576,12885.09310457668,1.0551241916135317,115.91410442886018,106.51690116684766,39.95337216484118,40.93010554096461,client-bound,10,clustered
20000,768,text AND text,0.007,140,140,0.15730108134448528,0.12311898171901703,0.21734600886702538,0.12568896636366844,1.2776346843371307,0.12000000000000002,,,,,,,,,10,clustered
20000,768,text AND text,0.01,200,200,0.15232106670737267,0.14815502800047398,0.21589093375951052,0.16343605238944292,1.0281194554320854,0.12000000000000002,,,,,,,,,10,clustered
20000,768,text AND text,0.02,400,400,0.14068896416574717,0.1998799853026867,0.1906030811369419,0.20734395366162062,0.7038671928692407,0.12000000000000002,12482.7217073903,12327.860539603578,0.9875939581593782,118.40113080451285,218.8727638989119,41.26844393186339,41.40836073763198,client-bound,10,clustered
20000,768,text AND text,0.035,700,700,0.17349305562675,0.34402008168399334,0.23390701971948147,0.35758200101554394,0.5043108378368318,0.12000000000000002,,,,,,,,,10,clustered
20000,768,text AND text,0.05,1000,1000,0.1454399898648262,0.46774803195148706,0.19096501637250185,0.487881014123559,0.3109366152927195,0.15,,,,,,,,,10,clustered
20000,768,text AND text,0.07,1400,1400,0.1381071051582694,0.6147479871287942,0.17793499864637852,0.6655430188402534,0.22465645768651368,0.2,,,,,,,,,10,clustered
